0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID
-51.0,-55.7,-77.77777777777777,-67.71428571428571,-72.44444444444444,-79.6,-72.0,-78.75,-85.66666666666667,-89.4,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-50.9,-55.1,-78.33333333333333,-67.71428571428571,-72.375,-79.6,-72.1,-78.5,-85.88888888888889,-89.4,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.1,-55.4,-78.25,-68.42857142857143,-72.5,-79.25,-72.2,-78.5,-86.22222222222223,-89.5,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.1,-55.9,-79.125,-68.125,-72.875,-79.4,-72.2,-78.75,-86.44444444444444,-89.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.2,-56.5,-79.0,-68.125,-73.14285714285714,-79.4,-72.4,-78.875,-86.88888888888889,-89.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-50.9,-56.9,-79.5,-67.75,-73.0,-79.16666666666667,-72.3,-78.875,-87.0,-90.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-50.8,-57.5,-79.57142857142857,-67.55555555555556,-72.625,-78.83333333333333,-72.3,-78.88888888888889,-87.0,-90.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.0,-57.8,-80.375,-67.66666666666667,-72.375,-78.83333333333333,-72.5,-78.88888888888889,-87.1,-90.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.2,-58.2,-81.125,-67.11111111111111,-72.25,-78.5,-72.2,-78.77777777777777,-87.11111111111111,-90.2,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.7,-58.8,-81.5,-66.55555555555556,-72.0,-78.57142857142857,-72.66666666666667,-79.5,-87.22222222222223,-90.2,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
