0,1,2,3,4,5,6,7,LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID
-56.0,-64.0,-69.0,-71.0,-67.0,-68.0,-70.0,-70.0,0.0,0.0,0.0,0.0,0.0
-55.0,-66.0,-70.0,-75.0,-67.0,-71.0,-71.0,-74.0,0.0,1.0,0.0,0.0,0.0
-54.0,-63.0,-71.0,-75.0,-64.0,-65.0,-69.0,-75.0,0.0,2.0,0.0,0.0,0.0
-53.0,-63.0,-74.0,-69.0,-64.0,-68.0,-72.0,-71.0,0.0,3.0,0.0,0.0,0.0
-57.0,-65.0,-72.0,-75.0,-66.0,-70.0,-72.0,-71.0,0.0,4.0,0.0,0.0,0.0
-59.0,-66.0,-72.0,-74.0,-67.0,-70.0,-70.0,-77.0,0.0,5.0,0.0,0.0,0.0
-58.0,-62.0,-71.0,-73.0,-67.0,-67.0,-69.0,-72.0,0.0,6.0,0.0,0.0,0.0
-58.0,-68.0,-68.0,-73.0,-60.0,-67.0,-73.0,-75.0,0.0,7.0,0.0,0.0,0.0
-60.0,-69.0,-74.0,-73.0,-61.0,-66.0,-75.0,-72.0,0.0,8.0,0.0,0.0,0.0
-56.0,-65.0,-69.0,-72.0,-61.0,-65.0,-70.0,-73.0,0.0,9.0,0.0,0.0,0.0
-57.0,-63.0,-70.0,-75.0,-61.0,-64.0,-69.0,-72.0,0.0,10.0,0.0,0.0,0.0
-61.0,-67.0,-70.0,-76.0,-58.0,-65.0,-66.0,-74.0,0.0,11.0,0.0,0.0,0.0
-59.0,-69.0,-73.0,-71.0,-58.0,-65.0,-70.0,-68.0,0.0,12.0,0.0,0.0,0.0
-63.0,-65.0,-72.0,-70.0,-58.0,-64.0,-71.0,-73.0,0.0,13.0,0.0,0.0,0.0
-65.0,-67.0,-69.0,-70.0,-56.0,-66.0,-69.0,-71.0,0.0,14.0,0.0,0.0,0.0
-66.0,-66.0,-69.0,-75.0,-61.0,-63.0,-70.0,-72.0,0.0,15.0,0.0,0.0,0.0
-65.0,-70.0,-73.0,-76.0,-61.0,-64.0,-69.0,-76.0,0.0,16.0,0.0,0.0,0.0
-63.0,-70.0,-72.0,-70.0,-57.0,-67.0,-75.0,-73.0,0.0,17.0,0.0,0.0,0.0
-65.0,-68.0,-68.0,-72.0,-55.0,-66.0,-74.0,-73.0,0.0,18.0,0.0,0.0,0.0
-66.0,-71.0,-69.0,-71.0,-56.0,-65.0,-69.0,-72.0,0.0,19.0,0.0,0.0,0.0
-65.0,-69.0,-73.0,-73.0,-54.0,-64.0,-71.0,-72.0,0.0,20.0,0.0,0.0,0.0
-55.0,-66.0,-70.0,-76.0,-65.0,-66.0,-74.0,-77.0,1.0,0.0,0.0,0.0,0.0
-55.0,-66.0,-72.0,-76.0,-67.0,-69.0,-70.0,-77.0,1.0,1.0,0.0,0.0,0.0
-49.0,-63.0,-68.0,-74.0,-61.0,-68.0,-68.0,-74.0,1.0,2.0,0.0,0.0,0.0
-54.0,-67.0,-71.0,-73.0,-64.0,-67.0,-72.0,-73.0,1.0,3.0,0.0,0.0,0.0
-53.0,-68.0,-74.0,-71.0,-65.0,-70.0,-71.0,-72.0,1.0,4.0,0.0,0.0,0.0
-55.0,-61.0,-68.0,-74.0,-64.0,-69.0,-73.0,-72.0,1.0,5.0,0.0,0.0,0.0
-56.0,-66.0,-72.0,-72.0,-65.0,-66.0,-72.0,-78.0,1.0,6.0,0.0,0.0,0.0
-62.0,-66.0,-73.0,-75.0,-64.0,-68.0,-71.0,-75.0,1.0,7.0,0.0,0.0,0.0
-56.0,-61.0,-72.0,-72.0,-63.0,-64.0,-73.0,-74.0,1.0,8.0,0.0,0.0,0.0
-58.0,-66.0,-72.0,-76.0,-62.0,-64.0,-73.0,-74.0,1.0,9.0,0.0,0.0,0.0
-58.0,-64.0,-68.0,-71.0,-57.0,-67.0,-68.0,-74.0,1.0,10.0,0.0,0.0,0.0
-62.0,-67.0,-71.0,-71.0,-62.0,-64.0,-75.0,-77.0,1.0,11.0,0.0,0.0,0.0
-58.0,-67.0,-71.0,-74.0,-61.0,-65.0,-70.0,-73.0,1.0,12.0,0.0,0.0,0.0
-59.0,-67.0,-73.0,-73.0,-60.0,-63.0,-68.0,-72.0,1.0,13.0,0.0,0.0,0.0
-61.0,-65.0,-70.0,-72.0,-60.0,-66.0,-69.0,-74.0,1.0,14.0,0.0,0.0,0.0
-64.0,-64.0,-74.0,-75.0,-55.0,-65.0,-71.0,-72.0,1.0,15.0,0.0,0.0,0.0
-66.0,-67.0,-71.0,-73.0,-55.0,-69.0,-68.0,-73.0,1.0,16.0,0.0,0.0,0.0
-66.0,-69.0,-68.0,-72.0,-57.0,-65.0,-70.0,-75.0,1.0,17.0,0.0,0.0,0.0
-64.0,-67.0,-68.0,-74.0,-56.0,-65.0,-69.0,-72.0,1.0,18.0,0.0,0.0,0.0
-65.0,-70.0,-74.0,-75.0,-57.0,-65.0,-68.0,-73.0,1.0,19.0,0.0,0.0,0.0
-63.0,-65.0,-72.0,-72.0,-59.0,-64.0,-74.0,-70.0,1.0,20.0,0.0,0.0,0.0
-51.0,-66.0,-70.0,-72.0,-66.0,-70.0,-72.0,-70.0,2.0,0.0,0.0,0.0,0.0
-51.0,-63.0,-68.0,-75.0,-60.0,-66.0,-73.0,-73.0,2.0,1.0,0.0,0.0,0.0
-50.0,-62.0,-70.0,-73.0,-65.0,-67.0,-74.0,-75.0,2.0,2.0,0.0,0.0,0.0
-54.0,-64.0,-65.0,-70.0,-61.0,-68.0,-70.0,-70.0,2.0,3.0,0.0,0.0,0.0
-57.0,-64.0,-69.0,-72.0,-67.0,-71.0,-70.0,-68.0,2.0,4.0,0.0,0.0,0.0
-56.0,-66.0,-71.0,-74.0,-64.0,-70.0,-71.0,-73.0,2.0,5.0,0.0,0.0,0.0
-54.0,-64.0,-74.0,-71.0,-62.0,-68.0,-72.0,-77.0,2.0,6.0,0.0,0.0,0.0
-56.0,-66.0,-71.0,-68.0,-62.0,-66.0,-70.0,-71.0,2.0,7.0,0.0,0.0,0.0
-60.0,-62.0,-69.0,-70.0,-61.0,-62.0,-71.0,-72.0,2.0,8.0,0.0,0.0,0.0
-58.0,-68.0,-70.0,-73.0,-60.0,-66.0,-70.0,-72.0,2.0,9.0,0.0,0.0,0.0
-56.0,-68.0,-70.0,-72.0,-59.0,-66.0,-70.0,-74.0,2.0,10.0,0.0,0.0,0.0
-62.0,-64.0,-73.0,-73.0,-57.0,-63.0,-71.0,-73.0,2.0,11.0,0.0,0.0,0.0
-60.0,-68.0,-72.0,-73.0,-61.0,-67.0,-67.0,-74.0,2.0,12.0,0.0,0.0,0.0
-62.0,-68.0,-71.0,-73.0,-55.0,-67.0,-70.0,-73.0,2.0,13.0,0.0,0.0,0.0
-64.0,-67.0,-70.0,-71.0,-57.0,-64.0,-69.0,-74.0,2.0,14.0,0.0,0.0,0.0
-63.0,-68.0,-72.0,-74.0,-55.0,-66.0,-67.0,-74.0,2.0,15.0,0.0,0.0,0.0
-61.0,-65.0,-71.0,-72.0,-54.0,-66.0,-69.0,-73.0,2.0,16.0,0.0,0.0,0.0
-66.0,-63.0,-71.0,-70.0,-54.0,-66.0,-69.0,-75.0,2.0,17.0,0.0,0.0,0.0
-69.0,-68.0,-74.0,-75.0,-56.0,-64.0,-69.0,-72.0,2.0,18.0,0.0,0.0,0.0
-66.0,-68.0,-71.0,-74.0,-54.0,-66.0,-69.0,-74.0,2.0,19.0,0.0,0.0,0.0
-68.0,-67.0,-72.0,-75.0,-54.0,-62.0,-74.0,-73.0,2.0,20.0,0.0,0.0,0.0
-52.0,-62.0,-71.0,-71.0,-68.0,-71.0,-67.0,-74.0,3.0,0.0,0.0,0.0,0.0
-50.0,-65.0,-72.0,-73.0,-64.0,-67.0,-73.0,-74.0,3.0,1.0,0.0,0.0,0.0
-49.0,-65.0,-70.0,-72.0,-65.0,-68.0,-70.0,-69.0,3.0,2.0,0.0,0.0,0.0
-48.0,-63.0,-70.0,-72.0,-66.0,-64.0,-70.0,-74.0,3.0,3.0,0.0,0.0,0.0
-59.0,-62.0,-73.0,-73.0,-63.0,-66.0,-70.0,-72.0,3.0,4.0,0.0,0.0,0.0
-53.0,-66.0,-69.0,-75.0,-64.0,-67.0,-72.0,-69.0,3.0,5.0,0.0,0.0,0.0
-55.0,-61.0,-67.0,-77.0,-61.0,-65.0,-74.0,-73.0,3.0,6.0,0.0,0.0,0.0
-59.0,-64.0,-70.0,-72.0,-62.0,-67.0,-68.0,-71.0,3.0,7.0,0.0,0.0,0.0
-59.0,-64.0,-68.0,-71.0,-62.0,-68.0,-70.0,-76.0,3.0,8.0,0.0,0.0,0.0
-60.0,-64.0,-68.0,-72.0,-61.0,-62.0,-73.0,-74.0,3.0,9.0,0.0,0.0,0.0
-60.0,-65.0,-68.0,-76.0,-58.0,-66.0,-70.0,-73.0,3.0,10.0,0.0,0.0,0.0
-61.0,-65.0,-69.0,-76.0,-55.0,-68.0,-70.0,-70.0,3.0,11.0,0.0,0.0,0.0
-61.0,-66.0,-70.0,-73.0,-62.0,-65.0,-71.0,-71.0,3.0,12.0,0.0,0.0,0.0
-63.0,-65.0,-69.0,-76.0,-58.0,-65.0,-71.0,-74.0,3.0,13.0,0.0,0.0,0.0
-62.0,-69.0,-73.0,-71.0,-54.0,-64.0,-70.0,-76.0,3.0,14.0,0.0,0.0,0.0
